Ragione,Sorgente,Convalida,Pagine
"Pagina scansionata, ma attualmente non indicizzata",Sistemi di Google,Non iniziata,6
Pagina duplicata senza URL canonico selezionato dall'utente,Sito web,N/D,0
"Rilevata, ma attualmente non indicizzata",Sistemi di Google,Superata,1
