key,en_text,es,de,fr,it,pt,he,hi,nl
whyStayWithUs.benefits[2],Direct booking and local support,translated,translated,translated,translated,translated,translated,translated,translated
whyStayWithUs.benefits[3],No platform commissions,translated,translated,translated,translated,translated,translated,translated,translated
whyStayWithUs.ctaText,View all our properties,translated,translated,translated,translated,translated,translated,translated,translated
imagesModal.close,Close,translated,translated,translated,translated,translated,translated,translated,translated
imagesModal.photos,photos,translated,translated,identical-to-english,translated,translated,translated,translated,translated
imagesModal.previous,Previous,translated,translated,translated,translated,translated,translated,translated,translated
imagesModal.next,Next,translated,translated,translated,translated,translated,translated,translated,translated
imagesModal.empty,No images available,translated,translated,translated,translated,translated,translated,translated,translated
reviewTags.Stayed a few nights,Stayed a few nights,translated,translated,translated,translated,translated,translated,translated,translated
reviewTags.Stayed one night,Stayed one night,translated,translated,translated,translated,translated,translated,translated,translated
reviewTags.Stayed with kids,Stayed with kids,translated,translated,translated,translated,translated,translated,translated,translated
reviewTags.Stayed with a pet,Stayed with a pet,translated,translated,translated,translated,translated,translated,translated,translated
reviewTags.Stayed about a week,Stayed about a week,translated,translated,translated,translated,translated,translated,translated,translated
